CNPJ_CIA;DENOM_CIA;DT_REFER;CD_CVM;ID_DOC;VERSAO;stock.type;stock.class;qtd.issue
01.851.771/0001-55;524 PARTICIPACOES S.A.;2021-01-01;16284;104991;1;PN;0;0
01.896.779/0001-38;CSU CARDSYSTEM S.A.;2021-01-01;20044;105110;1;ON;0;41793464.09727
01.896.779/0001-38;CSU CARDSYSTEM S.A.;2021-01-01;20044;105110;1;PN;0;0
01.917.818/0001-36;LIGHT ENERGIA S.A.;2021-01-01;23000;105142;1;ON;0;0
01.917.818/0001-36;LIGHT ENERGIA S.A.;2021-01-01;23000;105142;1;PN;0;0
01.938.783/0001-11;CIA PARTICIPACOES ALIANCA DA BAHIA;2021-01-01;18708;105992;2;ON;0;6425383.55850698
01.938.783/0001-11;CIA PARTICIPACOES ALIANCA DA BAHIA;2021-01-01;18708;105992;2;PN;0;6426781.70144462
01.957.772/0001-89;SUL 116 PARTICIPACOES S.A.;2021-01-01;16438;105881;2;ON;0;0
01.957.772/0001-89;SUL 116 PARTICIPACOES S.A.;2021-01-01;16438;105881;2;PN;0;0
01.971.614/0001-83;EMPRESA NAC COM REDITO PART S.A.ENCORPAR;2021-01-01;16497;105993;2;ON;0;1025402.63543192
01.971.614/0001-83;EMPRESA NAC COM REDITO PART S.A.ENCORPAR;2021-01-01;16497;105993;2;PN;0;873553.113553114
01.989.044/0001-59;WTC RIO EMPREEND. E PARTICIPA;2021-01-01;16551;103950;1;ON;0;1000
01.989.044/0001-59;WTC RIO EMPREEND. E PARTICIPA;2021-01-01;16551;103950;1;PN;0;0
02.016.440/0001-62;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;2021-01-01;16527;104859;1;ON;0;0
02.016.440/0001-62;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;2021-01-01;16527;104859;1;PN;0;0
02.062.747/0001-08;SUDESTE S.A.;2021-01-01;16586;104993;1;ON;0;0
02.062.747/0001-08;SUDESTE S.A.;2021-01-01;16586;104993;1;PN;0;0
02.105.040/0001-23;CIBRASEC - COMPANHIA BRASILEIRA DE SECURITIZACAO;2021-04-01;18287;105031;1;ON;0;41649.0002363862
02.105.040/0001-23;CIBRASEC - COMPANHIA BRASILEIRA DE SECURITIZACAO;2021-12-31;18287;100560;1;ON;0;41649.0002363862
02.105.040/0001-23;CIBRASEC - COMPANHIA BRASILEIRA DE SECURITIZACAO;2021-04-01;18287;105031;1;PN;0;41648.9602150847
02.105.040/0001-23;CIBRASEC - COMPANHIA BRASILEIRA DE SECURITIZACAO;2021-12-31;18287;100560;1;PN;0;41648.9602150847
02.149.205/0001-69;PORTO SEGURO S.A.;2021-01-01;16659;105007;1;ON;0;323293034.67522
02.149.205/0001-69;PORTO SEGURO S.A.;2021-01-01;16659;105007;1;PN;0;0
02.162.616/0001-94;UPTICK PARTICIPACOES S.A.;2021-01-01;16624;104696;1;ON;0;0
02.162.616/0001-94;UPTICK PARTICIPACOES S.A.;2021-01-01;16624;104696;1;PN;0;0
02.193.750/0001-52;GPC PARTICIPACOES S.A.;2021-01-01;16632;105919;2;ON;0;31337826.733106
02.193.750/0001-52;GPC PARTICIPACOES S.A.;2021-01-01;16632;105919;2;PN;0;31335733.3333333
02.201.787/0001-85;CEL PARTICIPA;2021-01-01;16675;105190;1;ON;0;2609026.0902609
02.201.787/0001-85;CEL PARTICIPA;2021-01-01;16675;105190;1;PN;0;3e+06
02.217.319/0001-07;ALEF S.A.;2021-01-01;16705;105344;1;ON;0;0
02.217.319/0001-07;ALEF S.A.;2021-01-01;16705;105344;1;PN;0;0
02.221.531/0001-30;RODONORTE - CONC. ROD. INTEGRADAS S.A.;2021-01-01;19151;105752;2;ON;0;0
02.221.531/0001-30;RODONORTE - CONC. ROD. INTEGRADAS S.A.;2021-01-01;19151;105752;2;PN;0;0
02.281.836/0001-37;TRANSNORDESTINA LOGISTICA SA;2021-01-01;20443;104982;1;ON;0;0
02.281.836/0001-37;TRANSNORDESTINA LOGISTICA SA;2021-01-01;20443;104982;1;PN;0;0
02.286.479/0001-08;LOCALIZA FLEET S.A.;2021-01-01;24813;105646;1;ON;0;0
02.286.479/0001-08;LOCALIZA FLEET S.A.;2021-01-01;24813;105646;1;PN;0;0
02.291.077/0001-93;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;2021-01-01;19232;103648;2;ON;0;1e+05
02.291.077/0001-93;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;2021-01-01;19232;103648;2;PN;0;0
02.302.100/0001-06;EDP S;2021-01-01;16985;105894;2;ON;0;39091735037
02.302.100/0001-06;EDP S;2021-01-01;16985;105894;2;PN;0;0
02.302.101/0001-42;EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.;2021-01-01;16993;105379;1;ON;0;14705093.8337802
02.302.101/0001-42;EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.;2021-01-01;16993;105379;1;PN;0;22241714.0750669
02.318.346/0001-68;OPPORTUNITY ENERGIA E PARTICIPACOES S.A.;2021-01-01;16942;104994;1;ON;0;0
02.318.346/0001-68;OPPORTUNITY ENERGIA E PARTICIPACOES S.A.;2021-01-01;16942;104994;1;PN;0;0
02.328.280/0001-97;ELEKTRO REDES S.A.;2021-01-01;17485;104719;2;ON;0;91881325.5873434
02.328.280/0001-97;ELEKTRO REDES S.A.;2021-01-01;17485;104719;2;PN;0;101878300.170677
02.351.144/0001-18;TEGMA GESTAO LOGISTICA S.A.;2021-01-01;20800;105357;1;ON;0;66002846.2411055
02.351.144/0001-18;TEGMA GESTAO LOGISTICA S.A.;2021-01-01;20800;105357;1;PN;0;0
02.351.877/0001-52;NA;2021-01-01;NA;104933;1;ON;0;585461772.457593
02.351.877/0001-52;NA;2021-01-01;NA;104933;1;PN;0;0
02.357.251/0001-53;LIFEMED INDUSTRIAL DE EQUIP. E ART. MEDICOS E HOSP. S.A;2021-01-01;24872;105175;1;ON;0;0
02.357.251/0001-53;LIFEMED INDUSTRIAL DE EQUIP. E ART. MEDICOS E HOSP. S.A;2021-01-01;24872;105175;1;PN;0;0
02.365.069/0001-44;IDEIASNET S.A.;2021-01-01;18414;103209;1;ON;0;78448304.8561151
02.365.069/0001-44;IDEIASNET S.A.;2021-01-01;18414;103209;1;PN;0;0
02.382.073/0001-10;PROLAGOS S/A - CONCESSION;2021-01-01;23469;105833;2;ON;0;0
02.382.073/0001-10;PROLAGOS S/A - CONC. DE SERVICOS P;2021-01-01;23469;105833;2;ON;0;0
02.382.073/0001-10;PROLAGOS S/A - CONCESSION;2021-01-01;23469;105833;2;PN;0;0
02.382.073/0001-10;PROLAGOS S/A - CONC. DE SERVICOS P;2021-01-01;23469;105833;2;PN;0;0
02.387.241/0001-60;RUMO S.A.;2021-01-01;17450;105799;2;ON;0;1854592196.12628
02.387.241/0001-60;RUMO S.A.;2021-01-01;17450;105799;2;PN;0;0
02.397.080/0001-96;ITAPEBI GERACAO DE ENERGIA S.A.;2021-01-01;19364;104715;2;ON;0;0
02.397.080/0001-96;ITAPEBI GERACAO DE ENERGIA S.A.;2021-01-01;19364;104715;2;PN;0;0
02.415.408/0001-50;CONC ROD.OESTE SP VIAOESTE S.A;2021-01-01;21024;105091;1;ON;0;0
02.415.408/0001-50;CONC ROD.OESTE SP VIAOESTE S.A;2021-01-01;21024;105091;1;PN;0;0
02.421.421/0001-11;NA;2021-01-01;NA;105747;2;ON;0;2420804416.33154
02.421.421/0001-11;NA;2021-01-01;NA;105747;2;PN;0;0
02.429.144/0001-93;CPFL ENERGIA S.A.;2021-01-01;18660;104864;1;ON;0;1152440380.6016
02.429.144/0001-93;CPFL ENERGIA S.A.;2021-01-01;18660;104864;1;PN;0;0
02.451.848/0001-62;CONC SIST ANHANG-BANDEIRANT S.A. AUTOBAN;2021-01-01;20192;104992;1;ON;0;0
02.451.848/0001-62;CONC SIST ANHANG-BANDEIRANT S.A. AUTOBAN;2021-01-01;20192;104992;1;PN;0;0
02.474.103/0001-19;ENGIE BRASIL ENERGIA S.A.;2021-01-01;17329;105229;1;ON;0;815927749.644071
02.474.103/0001-19;ENGIE BRASIL ENERGIA S.A.;2021-01-01;17329;105229;1;PN;0;0
02.502.844/0001-66;RUMO MALHA PAULISTA S.A.;2021-01-01;17930;105683;1;ON;0;0
02.502.844/0001-66;RUMO MALHA PAULISTA S.A.;2021-01-01;17930;105683;1;PN;0;0
02.509.186/0001-34;TRI;2021-01-01;23060;105758;1;ON;0;610000
02.509.186/0001-34;TRI;2021-01-01;23060;105758;1;PN;0;0
02.509.491/0001-26;CONC ECOVIAS IMIGRANTES S.A.;2021-01-01;20397;105947;2;ON;0;0
02.509.491/0001-26;CONC ECOVIAS IMIGRANTES S.A.;2021-01-01;20397;105947;2;PN;0;0
02.558.157/0001-62;TELEF;2021-01-01;17671;105925;2;ON;0;2070100498.9508
02.558.157/0001-62;TELEF;2021-01-01;17671;105925;2;PN;0;0
02.635.522/0001-95;NA;2021-03-31;NA;104794;8;ON;0;295886167.635659
02.635.522/0001-95;NA;2021-03-31;NA;104794;8;PN;0;0
02.643.896/0001-52;REAL AI PIC SEC DE CREDITOS IMOBILIARIO S.A.;2021-01-01;18430;105291;1;ON;0;0
02.643.896/0001-52;REAL AI PIC SEC DE CREDITOS IMOBILIARIO S.A.;2021-01-01;18430;105291;1;PN;0;0
02.664.042/0001-52;TERMINAL GARAGEM MENEZES CORTES S.A.;2021-01-01;18538;104907;1;ON;0;0
02.664.042/0001-52;TERMINAL GARAGEM MENEZES CORTES S.A.;2021-01-01;18538;104907;1;PN;0;0
02.682.287/0001-02;PAN ARRENDAMENTO MERCANTIL S.A.;2021-01-01;18554;105657;1;ON;0;11000
02.682.287/0001-02;PAN ARRENDAMENTO MERCANTIL S.A.;2021-01-01;18554;105657;1;PN;0;0
02.724.983/0001-34;SANESALTO SANEAMENTO S.A.;2021-01-01;19593;105061;1;ON;0;0
02.724.983/0001-34;SANESALTO SANEAMENTO S.A.;2021-01-01;19593;105061;1;PN;0;0
02.762.113/0001-50;BRAZILIAN FINANCE E REAL ESTATE S.A.;2021-01-01;17922;105702;2;ON;0;0
02.762.113/0001-50;BRAZILIAN FINANCE E REAL ESTATE S.A.;2021-01-01;17922;105702;2;PN;0;0
02.762.121/0001-04;SANTOS BRASIL PARTICIPACOES S.A.;2021-01-01;17892;105905;2;ON;0;862478382.281615
02.762.121/0001-04;SANTOS BRASIL PARTICIPACOES S.A.;2021-01-01;17892;105905;2;PN;0;0
02.762.124/0001-30;BETAPART PARTICIPACOES S.A.;2021-01-01;17884;104995;1;ON;0;1
02.762.124/0001-30;BETAPART PARTICIPACOES S.A.;2021-01-01;17884;104995;1;PN;0;0
02.773.542/0001-22;RB CAPITAL COMPANHIA DE SECURITIZA;2021-01-01;18406;105407;2;ON;0;0
02.773.542/0001-22;RB CAPITAL COMPANHIA DE SECURITIZA;2021-01-01;18406;105407;2;PN;0;0
02.783.423/0001-50;ALTERE SECURITIZADORA S.A.;2021-01-01;18066;105727;1;ON;0;36218984
02.783.423/0001-50;ALTERE SECURITIZADORA S.A.;2021-01-01;18066;105727;1;PN;0;0
02.796.775/0001-40;GAMA PARTICIPACOES S.A.;2021-01-01;17965;104999;1;ON;0;0
02.796.775/0001-40;GAMA PARTICIPACOES S.A.;2021-01-01;17965;104999;1;PN;0;0
02.800.026/0001-40;COGNA EDUCA;2021-01-01;17973;105274;1;ON;0;1876606212.83487
02.800.026/0001-40;KROTON EDUCACIONAL S.A.;2021-01-01;17973;105274;1;ON;0;1876606212.83487
02.800.026/0001-40;COGNA EDUCA;2021-01-01;17973;105274;1;PN;0;0
02.800.026/0001-40;KROTON EDUCACIONAL S.A.;2021-01-01;17973;105274;1;PN;0;0
02.846.056/0001-97;CCR S.A.;2021-01-01;18821;105822;2;ON;0;2020000009.41477
02.846.056/0001-97;CCR S.A.;2021-01-01;18821;105822;2;PN;0;0
02.860.694/0001-62;T4F ENTRETENIMENTO S.A.;2021-01-01;22454;105647;1;ON;0;67412629.995763
02.860.694/0001-62;T4F ENTRETENIMENTO S.A.;2021-01-01;22454;105647;1;PN;0;0
02.916.265/0001-60;JBS S.A.;2021-01-01;20575;105565;1;ON;0;2511135763.69713
02.916.265/0001-60;JBS S.A.;2021-01-01;20575;105565;1;PN;0;0
02.919.555/0001-67;ARTERIS S.A.;2021-01-01;19771;104959;1;ON;0;0
02.919.555/0001-67;ARTERIS S.A.;2021-01-01;19771;104959;1;PN;0;0
02.932.074/0001-91;HYPERA S.A.;2021-01-01;21431;105378;1;ON;0;632570443.932412
02.932.074/0001-91;HYPERA S.A.;2021-01-01;21431;105378;1;PN;0;0
02.950.811/0001-89;PDG REALTY S.A. EMPREEND E PARTICIPACOES;2021-01-01;20478;106024;3;ON;0;56133457
02.950.811/0001-89;PDG REALTY S.A. EMPREEND E PARTICIPACOES;2021-01-01;20478;106024;3;PN;0;0
02.992.449/0001-09;PROMPT PARTICIPACOES S.A.;2021-01-01;18333;105000;1;ON;0;0
02.992.449/0001-09;PROMPT PARTICIPACOES S.A.;2021-01-01;18333;105000;1;PN;0;0
02.998.301/0001-81;RIO PARANAPANEMA ENERGIA S.A.;2021-01-01;18368;104778;1;ON;0;31599574.4680851
02.998.301/0001-81;RIO PARANAPANEMA ENERGIA S.A.;2021-01-01;18368;104778;1;PN;0;62981870.2290076
02.998.611/0001-04;CTEEP - CIA TRANSMISS;2021-01-01;18376;105116;1;ON;0;257937726.872646
02.998.611/0001-04;CTEEP - CIA TRANSMISS;2021-01-01;18376;105116;1;PN;0;400945570.026893
03.014.553/0001-91;TPI - TRIUNFO PARTICIP. E INVEST. S.A.;2021-01-01;19330;105460;1;ON;0;176000000.094831
03.014.553/0001-91;TPI - TRIUNFO PARTICIP. E INVEST. S.A.;2021-01-01;19330;105460;1;PN;0;0
03.025.305/0001-46;RODOVIAS DAS COLINAS S.A.;2021-01-01;23167;105759;1;ON;0;74220000
03.025.305/0001-46;RODOVIAS DAS COLINAS S.A.;2021-01-01;23167;105759;1;PN;0;0
03.207.703/0001-83;CONCESSIONARIA DE RODOVIAS DO INTERIOR PAULISTA S/A;2021-01-01;21849;105206;2;ON;0;0
03.207.703/0001-83;CONCESSIONARIA DE RODOVIAS DO INTERIOR PAULISTA S/A;2021-01-01;21849;105206;2;PN;0;0
03.220.438/0001-73;EQUATORIAL ENERGIA S.A.;2021-01-01;20010;105832;2;ON;0;1010511085
03.220.438/0001-73;EQUATORIAL ENERGIA S.A.;2021-01-01;20010;105832;2;PN;0;0
03.303.999/0001-36;DTCOM - DIRECT TO COMPANY S.A.;2021-01-01;18597;104554;1;ON;0;10680685.8008904
03.303.999/0001-36;DTCOM - DIRECT TO COMPANY S.A.;2021-01-01;18597;104554;1;PN;0;0
03.342.704/0001-30;NA;2021-01-01;NA;105809;7;ON;0;248323629.640071
03.342.704/0001-30;NA;2021-01-01;NA;105809;7;PN;0;0
03.378.521/0001-75;LIGHT S.A.;2021-01-01;19879;105145;1;ON;0;372555324
03.378.521/0001-75;LIGHT S.A.;2021-01-01;19879;105145;1;PN;0;0
03.467.321/0001-99;ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A;2021-01-01;14605;105583;1;ON;0;75572310.3448276
03.467.321/0001-99;ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A;2021-01-01;14605;105583;1;PN;0;143707702.702703
03.538.833/0001-07;XX DE NOVEMBRO INVESTIMENTOS E PARTICIPA;2021-01-01;20001;105004;1;ON;0;0
03.538.833/0001-07;XX DE NOVEMBRO INVESTIMENTOS E PARTICIPA;2021-01-01;20001;105004;1;PN;0;0
03.758.318/0001-24;INVESTIMENTOS E PARTICIP. EM INFRA S.A. - INVEPAR;2021-01-01;18775;105967;2;ON;0;143057124
03.758.318/0001-24;INVESTIMENTOS E PARTICIP. EM INFRA S.A. - INVEPAR;2021-01-01;18775;105967;2;PN;0;286114244
03.767.538/0001-14;BRAZILIAN SECURITIES CIA SECURITIZACAO;2021-01-01;18759;105667;2;ON;0;0
03.767.538/0001-14;BRAZILIAN SECURITIES CIA SECURITIZACAO;2021-01-01;18759;105667;2;PN;0;0
03.795.050/0001-09;TERMOPERNAMBUCO S.A.;2021-01-01;19852;105906;2;ON;0;0
03.795.050/0001-09;TERMOPERNAMBUCO S.A.;2021-01-01;19852;105906;2;PN;0;0
03.818.379/0001-30;SABER SERVI;2021-01-01;24490;105277;1;ON;0;0
03.818.379/0001-30;SABER SERVI;2021-01-01;24490;105277;1;PN;0;0
03.847.461/0001-92;BRADESPAR S.A.;2021-01-01;18724;105964;2;ON;0;122171176.243558
03.847.461/0001-92;BRADESPAR S.A.;2021-01-01;18724;105964;2;PN;0;225862574.63917
03.853.896/0001-40;MARFRIG GLOBAL FOODS S.A.;2021-01-01;20788;104787;1;ON;0;711369912.751505
03.853.896/0001-40;MARFRIG GLOBAL FOODS S.A.;2021-01-01;20788;104787;1;PN;0;0
03.953.509/0001-47;CPFL GERACAO DE ENERGIA S.A.;2021-01-01;18953;104865;1;ON;0;0
03.953.509/0001-47;CPFL GERACAO DE ENERGIA S.A.;2021-01-01;18953;104865;1;PN;0;0
03.983.431/0001-03;EDP - ENERGIAS DO BRASIL S.A.;2021-01-01;19763;105246;1;ON;0;606850388.951119
03.983.431/0001-03;EDP - ENERGIAS DO BRASIL S.A.;2021-01-01;19763;105246;1;PN;0;0
04.030.182/0001-02;CABINDA PARTICIPACOES S.A.;2021-01-01;19119;103691;1;ON;0;2458000
04.030.182/0001-02;CABINDA PARTICIPACOES S.A.;2021-01-01;19119;103691;1;PN;0;4916000
04.031.213/0001-31;CACONDE PARTICIPACOES S.A.;2021-01-01;19135;103696;1;ON;0;703211
04.031.213/0001-31;CACONDE PARTICIPACOES S.A.;2021-01-01;19135;103696;1;PN;0;1406542
04.032.433/0001-80;ATMA PARTICIPA;2021-01-01;19100;105668;1;ON;0;24788845.6613809
04.032.433/0001-80;LIQ PARTICIPA;2021-01-01;19100;105668;1;ON;0;24788845.6613809
04.032.433/0001-80;ATMA PARTICIPA;2021-01-01;19100;105668;1;PN;0;0
04.032.433/0001-80;LIQ PARTICIPA;2021-01-01;19100;105668;1;PN;0;0
04.038.763/0001-82;CAIANDA PARTICIPACOES S.A.;2021-01-01;19097;103707;2;ON;0;0
04.038.763/0001-82;CAIANDA PARTICIPACOES S.A.;2021-01-01;19097;103707;2;PN;0;0
04.065.791/0001-99;SINQIA S.A.;2021-01-01;22799;105070;1;ON;0;70549406.3386944
04.065.791/0001-99;SINQIA S.A.;2021-01-01;22799;105070;1;PN;0;0
04.069.709/0001-02;NA;2021-01-01;NA;105797;2;ON;0;132452493.540052
04.069.709/0001-02;NA;2021-01-01;NA;105797;2;PN;0;0
04.089.570/0001-50;;2021-01-01;23442;104911;1;ON;0;0
04.089.570/0001-50;;2021-01-01;23442;104911;1;PN;0;0
04.128.563/0001-10;AES TIETE ENERGIA SA;2021-01-01;18970;105316;1;ON;0;0
04.128.563/0001-10;AES TIETE ENERGIA SA;2021-01-01;18970;105316;1;PN;0;0
04.149.454/0001-80;ECORODOVIAS INFRAESTRUTURA E LOG;2021-01-01;19453;105882;6;ON;0;558693500.356056
04.149.454/0001-80;ECORODOVIAS INFRAESTRUTURA E LOG;2021-01-01;19453;105882;6;PN;0;0
04.172.213/0001-51;CIA PIRATININGA DE FORCA E LUZ;2021-01-01;19275;104860;1;ON;0;0
04.172.213/0001-51;CIA PIRATININGA DE FORCA E LUZ;2021-01-01;19275;104860;1;PN;0;0
04.200.649/0001-07;CIA PROVINCIA DE SECURITIZA;2021-01-01;19429;104736;2;ON;0;820000
04.200.649/0001-07;CIA PROVINCIA DE SECURITIZA;2021-01-01;19429;104736;2;ON;0;820000
04.200.649/0001-07;CIA PROVINCIA DE SECURITIZA;2021-01-01;19429;104736;2;PN;0;0
04.200.649/0001-07;CIA PROVINCIA DE SECURITIZA;2021-01-01;19429;104736;2;PN;0;0
04.233.319/0001-18;NCF PARTICIPA;2021-01-01;24015;105136;1;ON;0;0
04.233.319/0001-18;NCF PARTICIPA;2021-01-01;24015;105136;1;PN;0;0
