"CNPJ_CIA","DT_REFER","ID_DOC","VERSAO","stock.type","qtd.issue","DENOM_CIA","CD_CVM","stock.class"
"00.389.481/0001-79",2021-01-01,105304,1,"ON",0,"LM TRANSPORTES INTERESTADUAIS SERVIÃ‡OS E COMÃ‰RCIO S.A.",24880,0
"00.389.481/0001-79",2021-01-01,105304,1,"PN",0,"LM TRANSPORTES INTERESTADUAIS SERVIÃ‡OS E COMÃ‰RCIO S.A.",24880,0
"00.416.968/0001-01",2021-01-01,105939,2,"ON",1468340572.03732,"BANCO INTER S.A.",24406,0
"00.416.968/0001-01",2021-01-01,105939,2,"PN",1468333451.64795,"BANCO INTER S.A.",24406,0
"00.545.378/0001-70",2021-01-01,105553,2,"ON",29188116,"SERRA AZUL WATER PARK SA",14966,0
"00.545.378/0001-70",2021-01-01,105553,2,"PN",0,"SERRA AZUL WATER PARK SA",14966,0
"00.622.416/0001-41",2021-01-01,105128,1,"ON",0,"STATKRAFT ENERGIAS RENOVAVEIS S.A.",22594,0
"00.622.416/0001-41",2021-01-01,105128,1,"PN",0,"STATKRAFT ENERGIAS RENOVAVEIS S.A.",22594,0
"00.644.907/0001-93",2021-01-01,105249,1,"ON",786473019.163082,"INVESTCO S.A.",18589,0
"00.644.907/0001-93",2021-01-01,105249,1,"PN",786336393.778142,"INVESTCO S.A.",18589,0
"00.743.065/0001-27",2021-01-01,104808,1,"ON",0,"LITEL PARTICIPACOES S.A.",15091,0
"00.743.065/0001-27",2021-01-01,104808,1,"PN",0,"LITEL PARTICIPACOES S.A.",15091,0
"00.776.574/0001-56",2021-01-01,105519,1,"ON",560085758.313518,"B2W - COMPANHIA DIGITAL",20990,0
"00.776.574/0001-56",2021-01-01,105519,1,"PN",0,"B2W - COMPANHIA DIGITAL",20990,0
"00.864.214/0001-06",2021-01-01,105578,1,"ON",755945335.144928,"ENERGISA S.A.",15253,0
"00.864.214/0001-06",2021-01-01,105578,1,"PN",1058543358.07444,"ENERGISA S.A.",15253,0
"00.897.864/0001-58",2021-01-01,104591,2,"ON",2e+05,"SANTA CATARINA PART INVEST SA",15199,0
"00.897.864/0001-58",2021-01-01,104591,2,"PN",0,"SANTA CATARINA PART INVEST SA",15199,0
"00.924.429/0001-75",2021-01-01,105056,1,"ON",129411764.705882,"FERROVIA CENTRO-ATLANTICA S.A.",15369,0
"00.924.429/0001-75",2021-01-01,105056,1,"PN",18.99999962,"FERROVIA CENTRO-ATLANTICA S.A.",15369,0
"00.938.574/0001-05",2021-01-01,105313,1,"ON",48786,"CONC RIO-TERESOPOLIS S.A.",19208,0
"00.938.574/0001-05",2021-01-01,105313,1,"PN",37680,"CONC RIO-TERESOPOLIS S.A.",19208,0
"00.974.211/0001-25",2021-01-01,105382,1,"ON",0,NA,NA,0
"00.974.211/0001-25",2021-01-01,105382,1,"PN",0,NA,NA,0
"00.979.969/0001-56",2021-01-01,103284,1,"ON",0,"CAIXA ADM DIV PUB ESTADUAL SA",15717,0
"00.979.969/0001-56",2021-01-01,103284,1,"PN",0,"CAIXA ADM DIV PUB ESTADUAL SA",15717,0
"01.027.058/0001-91",2021-01-01,105293,1,"ON",2716837748.39154,"CIELO S.A.",21733,0
"01.027.058/0001-91",2021-01-01,105293,1,"PN",0,"CIELO S.A.",21733,0
"01.083.200/0001-18",2021-01-01,104655,1,"ON",1213814337.64022,"NEOENERGIA S.A.",15539,0
"01.083.200/0001-18",2021-01-01,104655,1,"PN",0,"NEOENERGIA S.A.",15539,0
"01.104.937/0001-70",2021-01-01,105268,1,"ON",11761724.9846532,"ELETROBRÃS PARTICIPAÃ‡Ã•ES S.A. - ELETROPAR",15784,0
"01.104.937/0001-70",2021-01-01,105268,1,"PN",0,"ELETROBRÃS PARTICIPAÃ‡Ã•ES S.A. - ELETROPAR",15784,0
"01.107.327/0001-20",2021-01-01,105575,1,"ON",0,"BBM LOGÃSTICA S.A.",24660,0
"01.107.327/0001-20",2021-01-01,105575,1,"PN",0,"BBM LOGÃSTICA S.A.",24660,0
"01.258.944/0001-26",2021-01-01,105394,1,"ON",0,"FERROVIA SUL-ATLANTICO S.A.",15709,0
"01.258.944/0001-26",2021-01-01,105394,1,"PN",0,"FERROVIA SUL-ATLANTICO S.A.",15709,0
"01.319.044/0001-41",2021-01-01,103915,1,"ON",100,"WTC AMAZONAS SUITE HOTEL S.A.",15741,0
"01.319.044/0001-41",2021-01-01,103915,1,"PN",0,"WTC AMAZONAS SUITE HOTEL S.A.",15741,0
"01.417.222/0001-77",2021-01-01,105332,1,"ON",188332647.280653,"MRS LOGISTICA S.A.",17949,0
"01.417.222/0001-77",2021-01-01,105332,1,"PN",151667362.291536,"MRS LOGISTICA S.A.",17949,0
"01.468.594/0001-22",2021-01-01,105542,3,"ON",0,NA,NA,0
"01.468.594/0001-22",2021-01-01,105542,3,"PN",0,NA,NA,0
"01.543.032/0001-04",2021-01-01,105886,3,"ON",283394444.444444,NA,NA,0
"01.543.032/0001-04",2021-01-01,105886,3,"PN",0,NA,NA,0
"01.545.826/0001-07",2021-01-01,105674,1,"ON",119999999.390905,"GAFISA S.A.",16101,0
"01.545.826/0001-07",2021-01-01,105674,1,"PN",0,"GAFISA S.A.",16101,0
"01.548.981/0001-79",2021-01-01,105863,2,"ON",792108.274866896,"INVESTIMENTOS BEMGE S.A.",6041,0
"01.548.981/0001-79",2021-01-01,105863,2,"PN",1571774.00330267,"INVESTIMENTOS BEMGE S.A.",6041,0
"01.599.101/0001-93",2021-01-01,105860,5,"ON",137534174.291709,NA,NA,0
"01.599.101/0001-93",2021-01-01,105860,5,"PN",0,NA,NA,0
"01.616.929/0001-02",2021-01-01,105289,1,"ON",0,"SANEAMENTO DE GOIAS SA",19186,0
"01.616.929/0001-02",2021-01-01,105289,1,"PN",0,"SANEAMENTO DE GOIAS SA",19186,0
"01.838.723/0001-27",2021-01-01,105935,2,"ON",812473249.00942,"BRF S.A.",16292,0
"01.838.723/0001-27",2021-01-01,105935,2,"PN",0,"BRF S.A.",16292,0
"01.851.771/0001-55",2021-01-01,104991,1,"ON",0,"524 PARTICIPACOES S.A.",16284,0
"01.851.771/0001-55",2021-01-01,104991,1,"PN",0,"524 PARTICIPACOES S.A.",16284,0
"01.896.779/0001-38",2021-01-01,105110,1,"ON",41793464.09727,"CSU CARDSYSTEM S.A.",20044,0
"01.896.779/0001-38",2021-01-01,105110,1,"PN",0,"CSU CARDSYSTEM S.A.",20044,0
"01.917.818/0001-36",2021-01-01,105142,1,"ON",0,"LIGHT ENERGIA S.A.",23000,0
"01.917.818/0001-36",2021-01-01,105142,1,"PN",0,"LIGHT ENERGIA S.A.",23000,0
"01.938.783/0001-11",2021-01-01,105992,2,"ON",6425383.55850698,"CIA PARTICIPACOES ALIANCA DA BAHIA",18708,0
"01.938.783/0001-11",2021-01-01,105992,2,"PN",6426781.70144462,"CIA PARTICIPACOES ALIANCA DA BAHIA",18708,0
"01.957.772/0001-89",2021-01-01,105881,2,"ON",0,"SUL 116 PARTICIPACOES S.A.",16438,0
"01.957.772/0001-89",2021-01-01,105881,2,"PN",0,"SUL 116 PARTICIPACOES S.A.",16438,0
"01.971.614/0001-83",2021-01-01,105993,2,"ON",1025402.63543192,"EMPRESA NAC COM REDITO PART S.A.ENCORPAR",16497,0
"01.971.614/0001-83",2021-01-01,105993,2,"PN",873553.113553114,"EMPRESA NAC COM REDITO PART S.A.ENCORPAR",16497,0
"01.989.044/0001-59",2021-01-01,103950,1,"ON",1000,"WTC RIO EMPREEND. E PARTICIPAÃ‡Ã•ES S.A.",16551,0
"01.989.044/0001-59",2021-01-01,103950,1,"PN",0,"WTC RIO EMPREEND. E PARTICIPAÃ‡Ã•ES S.A.",16551,0
"02.016.440/0001-62",2021-01-01,104859,1,"ON",0,"RGE SUL DISTRIBUIDORA DE ENERGIA S.A.",16527,0
"02.016.440/0001-62",2021-01-01,104859,1,"PN",0,"RGE SUL DISTRIBUIDORA DE ENERGIA S.A.",16527,0
"02.062.747/0001-08",2021-01-01,104993,1,"ON",0,"SUDESTE S.A.",16586,0
"02.062.747/0001-08",2021-01-01,104993,1,"PN",0,"SUDESTE S.A.",16586,0
"02.105.040/0001-23",2021-04-01,105031,1,"ON",41649.0002363862,"CIBRASEC - COMPANHIA BRASILEIRA DE SECURITIZACAO",18287,0
"02.105.040/0001-23",2021-12-31,100560,1,"ON",41649.0002363862,"CIBRASEC - COMPANHIA BRASILEIRA DE SECURITIZACAO",18287,0
"02.105.040/0001-23",2021-04-01,105031,1,"PN",41648.9602150847,"CIBRASEC - COMPANHIA BRASILEIRA DE SECURITIZACAO",18287,0
"02.105.040/0001-23",2021-12-31,100560,1,"PN",41648.9602150847,"CIBRASEC - COMPANHIA BRASILEIRA DE SECURITIZACAO",18287,0
"02.149.205/0001-69",2021-01-01,105007,1,"ON",323293034.67522,"PORTO SEGURO S.A.",16659,0
"02.149.205/0001-69",2021-01-01,105007,1,"PN",0,"PORTO SEGURO S.A.",16659,0
"02.162.616/0001-94",2021-01-01,104696,1,"ON",0,"UPTICK PARTICIPACOES S.A.",16624,0
"02.162.616/0001-94",2021-01-01,104696,1,"PN",0,"UPTICK PARTICIPACOES S.A.",16624,0
"02.193.750/0001-52",2021-01-01,105919,2,"ON",31337826.733106,"GPC PARTICIPACOES S.A.",16632,0
"02.193.750/0001-52",2021-01-01,105919,2,"PN",31335733.3333333,"GPC PARTICIPACOES S.A.",16632,0
"02.201.787/0001-85",2021-01-01,105190,1,"ON",2609026.0902609,"CEL PARTICIPAÃ‡Ã•ES S.A. - CELPAR",16675,0
"02.201.787/0001-85",2021-01-01,105190,1,"PN",3e+06,"CEL PARTICIPAÃ‡Ã•ES S.A. - CELPAR",16675,0
"02.217.319/0001-07",2021-01-01,105344,1,"ON",0,"ALEF S.A.",16705,0
"02.217.319/0001-07",2021-01-01,105344,1,"PN",0,"ALEF S.A.",16705,0
"02.221.531/0001-30",2021-01-01,105752,2,"ON",0,"RODONORTE - CONC. ROD. INTEGRADAS S.A.",19151,0
"02.221.531/0001-30",2021-01-01,105752,2,"PN",0,"RODONORTE - CONC. ROD. INTEGRADAS S.A.",19151,0
"02.281.836/0001-37",2021-01-01,104982,1,"ON",0,"TRANSNORDESTINA LOGISTICA SA",20443,0
"02.281.836/0001-37",2021-01-01,104982,1,"PN",0,"TRANSNORDESTINA LOGISTICA SA",20443,0
"02.286.479/0001-08",2021-01-01,105646,1,"ON",0,"LOCALIZA FLEET S.A.",24813,0
"02.286.479/0001-08",2021-01-01,105646,1,"PN",0,"LOCALIZA FLEET S.A.",24813,0
"02.291.077/0001-93",2021-01-01,103648,2,"ON",1e+05,"PRODUTORES ENERGET.DE MANSO S.A.- PROMAN",19232,0
"02.291.077/0001-93",2021-01-01,103648,2,"PN",0,"PRODUTORES ENERGET.DE MANSO S.A.- PROMAN",19232,0
"02.302.100/0001-06",2021-01-01,105894,2,"ON",39091735037,"EDP SÃƒO PAULO DISTRIBUIÃ‡ÃƒO DE ENERGIA S.A.",16985,0
"02.302.100/0001-06",2021-01-01,105894,2,"PN",0,"EDP SÃƒO PAULO DISTRIBUIÃ‡ÃƒO DE ENERGIA S.A.",16985,0
"02.302.101/0001-42",2021-01-01,105379,1,"ON",14705093.8337802,"EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.",16993,0
"02.302.101/0001-42",2021-01-01,105379,1,"PN",22241714.0750669,"EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.",16993,0
"02.318.346/0001-68",2021-01-01,104994,1,"ON",0,"OPPORTUNITY ENERGIA E PARTICIPACOES S.A.",16942,0
"02.318.346/0001-68",2021-01-01,104994,1,"PN",0,"OPPORTUNITY ENERGIA E PARTICIPACOES S.A.",16942,0
"02.328.280/0001-97",2021-01-01,104719,2,"ON",91881325.5873434,"ELEKTRO REDES S.A.",17485,0
"02.328.280/0001-97",2021-01-01,104719,2,"PN",101878300.170677,"ELEKTRO REDES S.A.",17485,0
"02.351.144/0001-18",2021-01-01,105357,1,"ON",66002846.2411055,"TEGMA GESTAO LOGISTICA S.A.",20800,0
"02.351.144/0001-18",2021-01-01,105357,1,"PN",0,"TEGMA GESTAO LOGISTICA S.A.",20800,0
"02.351.877/0001-52",2021-01-01,104933,1,"ON",585461772.457593,NA,NA,0
"02.351.877/0001-52",2021-01-01,104933,1,"PN",0,NA,NA,0
"02.357.251/0001-53",2021-01-01,105175,1,"ON",0,"LIFEMED INDUSTRIAL DE EQUIP. E ART. MEDICOS E HOSP. S.A",24872,0
"02.357.251/0001-53",2021-01-01,105175,1,"PN",0,"LIFEMED INDUSTRIAL DE EQUIP. E ART. MEDICOS E HOSP. S.A",24872,0
"02.365.069/0001-44",2021-01-01,103209,1,"ON",78448304.8561151,"IDEIASNET S.A.",18414,0
"02.365.069/0001-44",2021-01-01,103209,1,"PN",0,"IDEIASNET S.A.",18414,0
"02.382.073/0001-10",2021-01-01,105833,2,"ON",0,"PROLAGOS S/A - CONCESSIONÃRIA DE SERVICOS PÃšBLICOS DE ÃGUA E ESGOTO",23469,0
"02.382.073/0001-10",2021-01-01,105833,2,"ON",0,"PROLAGOS S/A - CONC. DE SERVICOS PÃšBLICOS DE ÃGUA E ESGOTO",23469,0
"02.382.073/0001-10",2021-01-01,105833,2,"PN",0,"PROLAGOS S/A - CONCESSIONÃRIA DE SERVICOS PÃšBLICOS DE ÃGUA E ESGOTO",23469,0
"02.382.073/0001-10",2021-01-01,105833,2,"PN",0,"PROLAGOS S/A - CONC. DE SERVICOS PÃšBLICOS DE ÃGUA E ESGOTO",23469,0
"02.387.241/0001-60",2021-01-01,105799,2,"ON",1854592196.12628,"RUMO S.A.",17450,0
"02.387.241/0001-60",2021-01-01,105799,2,"PN",0,"RUMO S.A.",17450,0
"02.397.080/0001-96",2021-01-01,104715,2,"ON",0,"ITAPEBI GERACAO DE ENERGIA S.A.",19364,0
"02.397.080/0001-96",2021-01-01,104715,2,"PN",0,"ITAPEBI GERACAO DE ENERGIA S.A.",19364,0
"02.415.408/0001-50",2021-01-01,105091,1,"ON",0,"CONC ROD.OESTE SP VIAOESTE S.A",21024,0
"02.415.408/0001-50",2021-01-01,105091,1,"PN",0,"CONC ROD.OESTE SP VIAOESTE S.A",21024,0
"02.421.421/0001-11",2021-01-01,105747,2,"ON",2420804416.33154,NA,NA,0
"02.421.421/0001-11",2021-01-01,105747,2,"PN",0,NA,NA,0
"02.429.144/0001-93",2021-01-01,104864,1,"ON",1152440380.6016,"CPFL ENERGIA S.A.",18660,0
"02.429.144/0001-93",2021-01-01,104864,1,"PN",0,"CPFL ENERGIA S.A.",18660,0
"02.451.848/0001-62",2021-01-01,104992,1,"ON",0,"CONC SIST ANHANG-BANDEIRANT S.A. AUTOBAN",20192,0
"02.451.848/0001-62",2021-01-01,104992,1,"PN",0,"CONC SIST ANHANG-BANDEIRANT S.A. AUTOBAN",20192,0
"02.474.103/0001-19",2021-01-01,105229,1,"ON",815927749.644071,"ENGIE BRASIL ENERGIA S.A.",17329,0
"02.474.103/0001-19",2021-01-01,105229,1,"PN",0,"ENGIE BRASIL ENERGIA S.A.",17329,0
"02.502.844/0001-66",2021-01-01,105683,1,"ON",0,"RUMO MALHA PAULISTA S.A.",17930,0
"02.502.844/0001-66",2021-01-01,105683,1,"PN",0,"RUMO MALHA PAULISTA S.A.",17930,0
"02.509.186/0001-34",2021-01-01,105758,1,"ON",610000,"TRIÃ‚NGULO DO SOL AUTO-ESTRADAS S.A.",23060,0
"02.509.186/0001-34",2021-01-01,105758,1,"PN",0,"TRIÃ‚NGULO DO SOL AUTO-ESTRADAS S.A.",23060,0
"02.509.491/0001-26",2021-01-01,105947,2,"ON",0,"CONC ECOVIAS IMIGRANTES S.A.",20397,0
"02.509.491/0001-26",2021-01-01,105947,2,"PN",0,"CONC ECOVIAS IMIGRANTES S.A.",20397,0
"02.558.157/0001-62",2021-01-01,105925,2,"ON",2070100498.9508,"TELEFÃ”NICA BRASIL S.A",17671,0
"02.558.157/0001-62",2021-01-01,105925,2,"PN",0,"TELEFÃ”NICA BRASIL S.A",17671,0
"02.635.522/0001-95",2021-03-31,104794,8,"ON",295886167.635659,NA,NA,0
"02.635.522/0001-95",2021-03-31,104794,8,"PN",0,NA,NA,0
"02.643.896/0001-52",2021-01-01,105291,1,"ON",0,"REAL AI PIC SEC DE CREDITOS IMOBILIARIO S.A.",18430,0
"02.643.896/0001-52",2021-01-01,105291,1,"PN",0,"REAL AI PIC SEC DE CREDITOS IMOBILIARIO S.A.",18430,0
"02.664.042/0001-52",2021-01-01,104907,1,"ON",0,"TERMINAL GARAGEM MENEZES CORTES S.A.",18538,0
"02.664.042/0001-52",2021-01-01,104907,1,"PN",0,"TERMINAL GARAGEM MENEZES CORTES S.A.",18538,0
"02.682.287/0001-02",2021-01-01,105657,1,"ON",11000,"PAN ARRENDAMENTO MERCANTIL S.A.",18554,0
"02.682.287/0001-02",2021-01-01,105657,1,"PN",0,"PAN ARRENDAMENTO MERCANTIL S.A.",18554,0
"02.724.983/0001-34",2021-01-01,105061,1,"ON",0,"SANESALTO SANEAMENTO S.A.",19593,0
"02.724.983/0001-34",2021-01-01,105061,1,"PN",0,"SANESALTO SANEAMENTO S.A.",19593,0
"02.762.113/0001-50",2021-01-01,105702,2,"ON",0,"BRAZILIAN FINANCE E REAL ESTATE S.A.",17922,0
"02.762.113/0001-50",2021-01-01,105702,2,"PN",0,"BRAZILIAN FINANCE E REAL ESTATE S.A.",17922,0
"02.762.121/0001-04",2021-01-01,105905,2,"ON",862478382.281615,"SANTOS BRASIL PARTICIPACOES S.A.",17892,0
"02.762.121/0001-04",2021-01-01,105905,2,"PN",0,"SANTOS BRASIL PARTICIPACOES S.A.",17892,0
"02.762.124/0001-30",2021-01-01,104995,1,"ON",1,"BETAPART PARTICIPACOES S.A.",17884,0
"02.762.124/0001-30",2021-01-01,104995,1,"PN",0,"BETAPART PARTICIPACOES S.A.",17884,0
"02.773.542/0001-22",2021-01-01,105407,2,"ON",0,"RB CAPITAL COMPANHIA DE SECURITIZAÃ‡ÃƒO",18406,0
"02.773.542/0001-22",2021-01-01,105407,2,"PN",0,"RB CAPITAL COMPANHIA DE SECURITIZAÃ‡ÃƒO",18406,0
"02.783.423/0001-50",2021-01-01,105727,1,"ON",36218984,"ALTERE SECURITIZADORA S.A.",18066,0
"02.783.423/0001-50",2021-01-01,105727,1,"PN",0,"ALTERE SECURITIZADORA S.A.",18066,0
"02.796.775/0001-40",2021-01-01,104999,1,"ON",0,"GAMA PARTICIPACOES S.A.",17965,0
"02.796.775/0001-40",2021-01-01,104999,1,"PN",0,"GAMA PARTICIPACOES S.A.",17965,0
"02.800.026/0001-40",2021-01-01,105274,1,"ON",1876606212.83487,"COGNA EDUCAÃ‡ÃƒO S.A.",17973,0
"02.800.026/0001-40",2021-01-01,105274,1,"ON",1876606212.83487,"KROTON EDUCACIONAL S.A.",17973,0
"02.800.026/0001-40",2021-01-01,105274,1,"PN",0,"COGNA EDUCAÃ‡ÃƒO S.A.",17973,0
"02.800.026/0001-40",2021-01-01,105274,1,"PN",0,"KROTON EDUCACIONAL S.A.",17973,0
"02.846.056/0001-97",2021-01-01,105822,2,"ON",2020000009.41477,"CCR S.A.",18821,0
"02.846.056/0001-97",2021-01-01,105822,2,"PN",0,"CCR S.A.",18821,0
"02.860.694/0001-62",2021-01-01,105647,1,"ON",67412629.995763,"T4F ENTRETENIMENTO S.A.",22454,0
"02.860.694/0001-62",2021-01-01,105647,1,"PN",0,"T4F ENTRETENIMENTO S.A.",22454,0
"02.916.265/0001-60",2021-01-01,105565,1,"ON",2511135763.69713,"JBS S.A.",20575,0
"02.916.265/0001-60",2021-01-01,105565,1,"PN",0,"JBS S.A.",20575,0
"02.919.555/0001-67",2021-01-01,104959,1,"ON",0,"ARTERIS S.A.",19771,0
"02.919.555/0001-67",2021-01-01,104959,1,"PN",0,"ARTERIS S.A.",19771,0
"02.932.074/0001-91",2021-01-01,105378,1,"ON",632570443.932412,"HYPERA S.A.",21431,0
"02.932.074/0001-91",2021-01-01,105378,1,"PN",0,"HYPERA S.A.",21431,0
"02.950.811/0001-89",2021-01-01,106024,3,"ON",56133457,"PDG REALTY S.A. EMPREEND E PARTICIPACOES",20478,0
"02.950.811/0001-89",2021-01-01,106024,3,"PN",0,"PDG REALTY S.A. EMPREEND E PARTICIPACOES",20478,0
"02.992.449/0001-09",2021-01-01,105000,1,"ON",0,"PROMPT PARTICIPACOES S.A.",18333,0
"02.992.449/0001-09",2021-01-01,105000,1,"PN",0,"PROMPT PARTICIPACOES S.A.",18333,0
"02.998.301/0001-81",2021-01-01,104778,1,"ON",31599574.4680851,"RIO PARANAPANEMA ENERGIA S.A.",18368,0
"02.998.301/0001-81",2021-01-01,104778,1,"PN",62981870.2290076,"RIO PARANAPANEMA ENERGIA S.A.",18368,0
"02.998.611/0001-04",2021-01-01,105116,1,"ON",257937726.872646,"CTEEP - CIA TRANSMISSÃƒO ENERGIA ELÃ‰TRICA PAULISTA",18376,0
"02.998.611/0001-04",2021-01-01,105116,1,"PN",400945570.026893,"CTEEP - CIA TRANSMISSÃƒO ENERGIA ELÃ‰TRICA PAULISTA",18376,0
"03.014.553/0001-91",2021-01-01,105460,1,"ON",176000000.094831,"TPI - TRIUNFO PARTICIP. E INVEST. S.A.",19330,0
"03.014.553/0001-91",2021-01-01,105460,1,"PN",0,"TPI - TRIUNFO PARTICIP. E INVEST. S.A.",19330,0
"03.025.305/0001-46",2021-01-01,105759,1,"ON",74220000,"RODOVIAS DAS COLINAS S.A.",23167,0
"03.025.305/0001-46",2021-01-01,105759,1,"PN",0,"RODOVIAS DAS COLINAS S.A.",23167,0
"03.207.703/0001-83",2021-01-01,105206,2,"ON",0,"CONCESSIONARIA DE RODOVIAS DO INTERIOR PAULISTA S/A",21849,0
"03.207.703/0001-83",2021-01-01,105206,2,"PN",0,"CONCESSIONARIA DE RODOVIAS DO INTERIOR PAULISTA S/A",21849,0
"03.220.438/0001-73",2021-01-01,105832,2,"ON",1010511085,"EQUATORIAL ENERGIA S.A.",20010,0
"03.220.438/0001-73",2021-01-01,105832,2,"PN",0,"EQUATORIAL ENERGIA S.A.",20010,0
"03.303.999/0001-36",2021-01-01,104554,1,"ON",10680685.8008904,"DTCOM - DIRECT TO COMPANY S.A.",18597,0
"03.303.999/0001-36",2021-01-01,104554,1,"PN",0,"DTCOM - DIRECT TO COMPANY S.A.",18597,0
"03.342.704/0001-30",2021-01-01,105809,7,"ON",248323629.640071,NA,NA,0
"03.342.704/0001-30",2021-01-01,105809,7,"PN",0,NA,NA,0
"03.378.521/0001-75",2021-01-01,105145,1,"ON",372555324,"LIGHT S.A.",19879,0
"03.378.521/0001-75",2021-01-01,105145,1,"PN",0,"LIGHT S.A.",19879,0
"03.467.321/0001-99",2021-01-01,105583,1,"ON",75572310.3448276,"ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A",14605,0
"03.467.321/0001-99",2021-01-01,105583,1,"PN",143707702.702703,"ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A",14605,0
"03.538.833/0001-07",2021-01-01,105004,1,"ON",0,"XX DE NOVEMBRO INVESTIMENTOS E PARTICIPAÃ‡Ã•ES S.A.",20001,0
"03.538.833/0001-07",2021-01-01,105004,1,"PN",0,"XX DE NOVEMBRO INVESTIMENTOS E PARTICIPAÃ‡Ã•ES S.A.",20001,0
"03.758.318/0001-24",2021-01-01,105967,2,"ON",143057124,"INVESTIMENTOS E PARTICIP. EM INFRA S.A. - INVEPAR",18775,0
"03.758.318/0001-24",2021-01-01,105967,2,"PN",286114244,"INVESTIMENTOS E PARTICIP. EM INFRA S.A. - INVEPAR",18775,0
"03.767.538/0001-14",2021-01-01,105667,2,"ON",0,"BRAZILIAN SECURITIES CIA SECURITIZACAO",18759,0
"03.767.538/0001-14",2021-01-01,105667,2,"PN",0,"BRAZILIAN SECURITIES CIA SECURITIZACAO",18759,0
"03.795.050/0001-09",2021-01-01,105906,2,"ON",0,"TERMOPERNAMBUCO S.A.",19852,0
"03.795.050/0001-09",2021-01-01,105906,2,"PN",0,"TERMOPERNAMBUCO S.A.",19852,0
"03.818.379/0001-30",2021-01-01,105277,1,"ON",0,"SABER SERVIÃ‡OS EDUCACIONAIS S.A.",24490,0
"03.818.379/0001-30",2021-01-01,105277,1,"PN",0,"SABER SERVIÃ‡OS EDUCACIONAIS S.A.",24490,0
"03.847.461/0001-92",2021-01-01,105964,2,"ON",122171176.243558,"BRADESPAR S.A.",18724,0
"03.847.461/0001-92",2021-01-01,105964,2,"PN",225862574.63917,"BRADESPAR S.A.",18724,0
"03.853.896/0001-40",2021-01-01,104787,1,"ON",711369912.751505,"MARFRIG GLOBAL FOODS S.A.",20788,0
"03.853.896/0001-40",2021-01-01,104787,1,"PN",0,"MARFRIG GLOBAL FOODS S.A.",20788,0
"03.953.509/0001-47",2021-01-01,104865,1,"ON",0,"CPFL GERACAO DE ENERGIA S.A.",18953,0
"03.953.509/0001-47",2021-01-01,104865,1,"PN",0,"CPFL GERACAO DE ENERGIA S.A.",18953,0
"03.983.431/0001-03",2021-01-01,105246,1,"ON",606850388.951119,"EDP - ENERGIAS DO BRASIL S.A.",19763,0
"03.983.431/0001-03",2021-01-01,105246,1,"PN",0,"EDP - ENERGIAS DO BRASIL S.A.",19763,0
