"";"CD_CVM";"DENOM_SOCIAL";"DENOM_COMERC";"SETOR_ATIV";"PF_PJ";"CNPJ";"DT_REG";"DT_CONST";"DT_CANCEL";"MOTIVO_CANCEL";"SIT_REG";"DT_INI_SIT";"SIT_EMISSOR";"DT_INI_SIT_EMISSOR";"CATEG_REG";"DT_INI_CATEG";"AUDITOR";"CNPJ_AUDITOR";"TP_ENDER";"LOGRADOURO";"COMPL";"BAIRRO";"CIDADE";"UF";"PAIS";"CD_POSTAL";"TEL";"FAX";"EMAIL";"TP_RESP";"RESP";"DT_INI_RESP";"LOGRADOURO_RESP";"COMPL_RESP";"BAIRRO_RESP";"CIDADE_RESP";"UF_RESP";"PAIS_RESP";"CEP_RESP";"TEL_RESP";"FAX_RESP";"EMAIL_RESP";"TP_MERC";"cnpj_number"
"11";25658;"AGROGALAXY PARTICIPAÇÕES S.A";"AGROGALAXY PARTICIPAÇÕES S.A";"Comércio (Atacado e Varejo)";"PJ";"21240146000184";"19/03/2021";"02/10/2014";NA;NA;"ATIVO";"19/03/2021";"FASE OPERACIONAL";"31/12/2020";"Categoria A";"31/12/2020";"PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES";61562112000120;"SEDE";"AVENIDA CIDADE JARDIM, 803";"6º ANDAR, CONJ. 62";"ITAIM BIBI";"SÃO PAULO";"SP";NA;NA;NA;NA;NA;"DIRETOR DE RELAÇÕES COM INVESTIDORES";"JOSÉ MAURÍCIO MORA PULITI";"18/12/2020";"AVENIDA CIDADE JARDIM, 803";"6º ANDAR, CONJ. 62";"ITAIM BIB";"SÃO PAULO";"SP";NA;1453000;"(11) 955799254";"(0) 0";"ri@agrogalaxy.com.br";NA;21240146000184
"12";25615;"ÁGUAS DE TERESINA SANEAMENTO SPE S.A.";"ÁGUAS DE TERESINA SANEAMENTO SPE S.A.";"Saneamento, Serv. Água e Gás";"PJ";"27157474000106";"25/02/2021";"21/02/2017";NA;NA;"ATIVO";"25/02/2021";"FASE OPERACIONAL";"13/10/2020";"Categoria B";"13/10/2020";NA;NA;"SEDE";"AVENIDA PROFESSOR CAMILO FILHO, Nº 1.960";NA;"TODOS OS SANTOS";"TERESINA";"PI";"BRASIL";NA;"(86) 33018000";"(86) 33018000";"ri@aegea.com.br";"DIRETOR DE RELAÇÕES COM INVESTIDORES";"ANDRÉ PIRES DE OLIVEIRA DIAS";"31/01/2020";"AVENIDA BRIGADEIRO FARIA LIMA,";"1º ANDAR, SALA 1";"JARDIM PAULISTANO";"SÃO PAULO";"SP";NA;1452001;"(11) 38188150";"(0) 0";"ri@aegea.com.br";NA;27157474000106
"13";23442;"AGUAS GUARIROBA S.A.";"AGUAS GUARIROBA S.A";"Saneamento, Serv. Água e Gás";"PJ";"4089570000150";"06/08/2014";"29/09/2000";NA;NA;"ATIVO";"06/08/2014";"FASE OPERACIONAL";"03/06/2014";"Categoria B";"06/08/2014";"KPMG AUDITORES INDEPENDENTES";57755217000129;"SEDE";"Rua Antonio Maria Coelho";"n.º 5401";"Santa Fé";"CAMPO GRANDE";"MS";"BRASIL";NA;"(67) 33895748";NA;"ri@aegea.com.br";"DIRETOR DE RELAÇÕES COM INVESTIDORES";"YAROSLAV MEMRAVA NETO";"29/05/2014";"AV. BRIGADEIRO FARIA LIMA";"1744";"ITAIM BIBI";"SÃO PAULO";"SP";NA;1451910;"(11) 38188150";"(11) 38188166";"ri@aegea.com.br";NA;4089570000150
"14";16705;"ALEF SA";"ALEF S/A";"Emp. Adm. Part. - Sem Setor Principal";"PJ";"2217319000107";"08/12/1997";"06/10/1997";NA;NA;"ATIVO";"08/12/1997";"FASE OPERACIONAL";"31/03/2003";"Categoria A";"01/01/2010";"GRANT THORNTON AUDITORES INDEPENDENTES";10830108000165;"SEDE";"AV. JOSÉ SILVA DE AZEVEDO NETO,200";"1° ANDAR";"BARRA DA TIJUCA";"RIO DE JANEIRO";"RJ";NA;NA;"(21) 38043700";"(21) 38043480";"gar@opportunity.com.br.";"DIRETOR DE RELAÇÕES COM INVESTIDORES";"FRANK JENCIK";"07/05/2018";"RUA ALFREDO LICCO, 55 -";NA;"CASTRIOTO";"PETRÓPOLIS";"RJ";NA;25665210;"(21) 31295583";"(0) 0";"thiago.moura@hugpay.com.br";"BALCÃO ORGANIZADO";2217319000107
"15";9954;"ALFA HOLDINGS SA";"ALFA HOLDINGS";"Emp. Adm. Part. - Intermediação Financeira";"PJ";"17167396000169";"20/07/1977";"11/08/1969";NA;NA;"ATIVO";"20/07/1977";"FASE OPERACIONAL";"20/07/1977";"Categoria A";"01/01/2010";"GRANT THORNTON AUDITORES INDEPENDENTES";10830108000165;"SEDE";"ALAMEDA SANTOS, 466";"2° ANDAR";"CERQUEIRA CÉSAR";"SÃO PAULO";"SP";"BRASIL";NA;"(11) 31755493";"(11) 31755026";"marco.aurelio@bancoalfa.com.br";"DIRETOR DE RELAÇÕES COM INVESTIDORES";"MARCO AURELIO NETO ARNES";"13/04/2009";"ALAMEDA SANTOS, 466";"2º ANDAR";"CERQUEIRA CESAR";"SÃO PAULO";"SP";NA;1418000;"(11) 31755493";"(11) 31755000";"marco.aurelio@bancoalfa.com.br";"BOLSA";17167396000169
"16";21032;"ALGAR TELECOM S/A";"CTBC TELECOM";"Telecomunicações";"PJ";"71208516000174";"27/07/2007";"01/01/2004";NA;NA;"ATIVO";"27/07/2007";"FASE OPERACIONAL";"27/07/2007";"Categoria B";"01/01/2010";"ERNST & YOUNG AUDITORES INDEPENDENTES S/S";61366936000125;"SEDE";"Rua José Alves Garcia, 415";"-";"Brasil";"UBERLÂNDIA";"MG";"BRASIL";NA;"(34) 32562978";NA;"ri@ctbc.com.br";"DIRETOR DE RELAÇÕES COM INVESTIDORES";"TULIO TOLEDO ABI-SABER";"01/10/2015";"RUA JOSÉ ALVES GARCIA";"415";"UBERLÂNDIA";"UBERLÂNDIA";"MG";NA;38400668;"(34) 32562978";"(34) 32567723";"ri@algartelecom.com.br";"BOLSA";71208516000174
"17";21032;"ALGAR TELECOM S/A";"CTBC TELECOM";"Telecomunicações";"PJ";"71208516000174";"27/07/2007";"01/01/2004";NA;NA;"ATIVO";"27/07/2007";"FASE OPERACIONAL";"27/07/2007";"Categoria B";"01/01/2010";"ERNST & YOUNG AUDITORES INDEPENDENTES S/S";61366936000125;"SEDE";"Rua José Alves Garcia, 415";"-";"Brasil";"UBERLÂNDIA";"MG";"BRASIL";NA;"(34) 32562978";NA;"ri@ctbc.com.br";"DIRETOR DE RELAÇÕES COM INVESTIDORES";"TULIO TOLEDO ABI-SABER";"01/10/2015";"RUA JOSÉ ALVES GARCIA";"415";"UBERLÂNDIA";"UBERLÂNDIA";"MG";NA;38400668;"(34) 32562978";"(34) 32567723";"ri@algartelecom.com.br";"BALCÃO ORGANIZADO";71208516000174
"18";22357;"ALIANSCE SONAE SHOPPING CENTERS S.A.";"ALIANSCE SONAE SHOPPING CENTERS S.A.";"Emp. Adm. Part. - Comércio (Atacado e Varejo)";"PJ";"5878397000132";"01/02/2011";"17/07/2003";NA;NA;"ATIVO";"01/02/2011";"FASE OPERACIONAL";"01/02/2011";"Categoria A";"01/02/2011";"PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES";61562112000120;"SEDE";"Avenida Doutor Cardoso de Melo";"1184";"Vila Olímpia";"SÃO PAULO";"SP";"BRASIL";NA;"(11) 33714188";"(11) 38495425";"ri@alianscesonae.com.br";"DIRETOR DE RELAÇÕES COM INVESTIDORES";"DANIELLA DE SOUZA GUANABARA SANTOS";"02/08/2019";"RUA DIAS FERREIRA";"190";"LEBLON";"RIO DE JANEIRO";"RJ";NA;22431050;"(21) 21767272";"(21) 21767229";"ri@alianscesonae.com.br";NA;5878397000132
"19";25330;"ALLIED TECNOLOGIA S.A.";"ALLIED TECNOLOGIA S.A.";"Comércio (Atacado e Varejo)";"PJ";"20247322000147";"25/11/2020";"10/04/2014";NA;NA;"ATIVO";"25/11/2020";"FASE OPERACIONAL";"07/02/2020";"Categoria A";"07/02/2020";"ERNST & YOUNG AUDITORES INDEPENDENTES S/S";61366936000125;"SEDE";"ROD VICE-PREFEITO HERMENEGILDO TONOLLI, 1.500";"LOTE GLA2/GALPÃO 04B";"DISTRITO INDUSTRIAL";"JUNDIAÍ";"SP";NA;NA;"(11) 45255199";"(11) 45255199";"ri@alliedbrasil.com.br";"DIRETOR DE RELAÇÕES COM INVESTIDORES";"LUÍS GUSTAVO FERRAZ ANTUNES";"03/02/2020";"AV DAS NAÇÕES UNIDAS, 12.995";"22º E 23º  ANDARES";"BROOKLIN PAULISTA";"SÃO PAULO";"SP";NA;4578911;"(11) 55039999";"(11) 55039999";"ri@alliedbrasil.com.br";NA;20247322000147
"20";24953;"ALLPARK EMPREENDIMENTOS, PARTICIPAÇÕES E SERVIÇOS S.A.";"ALLPARK EMPREENDIMENTOS, PARTICIPAÇÕES E SERVIÇOS S.A.";"Serviços Transporte e Logística";"PJ";"60537263000166";"13/05/2020";"19/04/1989";NA;NA;"ATIVO";"13/05/2020";"FASE OPERACIONAL";"17/02/2020";"Categoria A";"13/05/2020";"ERNST & YOUNG AUDITORES INDEPENDENTES S/S";61366936000125;"SEDE";"AV. PRESIDENTE JUSCELINO KUBITSCHEK 1830";"TORRE3, 3º AND";"VILA NOVA CONCEIÇÃO";"SÃO PAULO";"SP";NA;NA;"(11) 21818099";NA;"ri@estapar.com.br";"DIRETOR DE RELAÇÕES COM INVESTIDORES";"EMILIO SANCHES SALGADO JÚNIOR";"11/02/2020";"AV. PRES. JUSCELINO KUBITSCHEK";"1830, TORRE 3/3ºAN";"VILA NOVA CONCEIÇÃO";"SÃO PAULO";"SP";NA;4543000;"(11) 21818099";"(0) 0";"ri@estapar.com.br";NA;60537263000166
"21";10456;"ALPARGATAS SA";"ALPARGATAS";"Têxtil e Vestuário";"PJ";"61079117000105";"20/07/1977";"03/04/1907";NA;NA;"ATIVO";"20/07/1977";"FASE OPERACIONAL";"20/07/1977";"Categoria A";"01/01/2010";"KPMG AUDITORES INDEPENDENTES";57755217000129;"SEDE";"Av. Dr. Cardoso de Melo, 1336";"7º Andar";"Vila Olímpia";"SÃO PAULO";"SP";"BRASIL";NA;"(11) 38477397";"(11) 30451199";"jsalvio@alpargatas.com.br";"DIRETOR DE RELAÇÕES COM INVESTIDORES";"FABIO LEITE DE SOUZA";"12/05/2015";"AV. DR. CARDOSO DE MELO, 1336";"7º ANDAR";"VILA OLÍMPIA";"SÃO PAULO";"SP";NA;4548005;"(11) 38477397";"(11) 30451199";"ri@alpargatas.com";"BOLSA";61079117000105
"22";22217;"ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.";"BR INSURANCE CORRETORA DE SEGUROS S.A.";"Emp. Adm. Part. - Seguradoras e Corretoras";"PJ";"11721921000160";"28/10/2010";"10/03/2010";NA;NA;"ATIVO";"28/10/2010";"FASE PRÉ-OPERACIONAL";"28/10/2010";"Categoria A";"28/10/2010";"GRANT THORNTON AUDITORES INDEPENDENTES";10830108000165;"SEDE";"Rua Gilberto Sabino";"215, 13 andar";"Pinheiros";"SÃO PAULO";"SP";"BRASIL";NA;"(11) 31752900";"(11) 31752962";"ri@brinsurance.com.br";"DIRETOR DE RELAÇÕES COM INVESTIDORES";"MARCOS AURÉLIO COUTO";"26/03/2018";"RUA GILBERTO SABINO";"215 - 13º AND";"PINHEIROS";"SÃO PAULO";NA;NA;5425020;"(11) 31752900";"(11) 31752962";"ri@alperseguros.com.br";"BOLSA";11721921000160
"23";25275;"ALPHAVILLE S.A.";NA;"Construção Civil, Mat. Constr. e Decoração";"PJ";"16811931000100";"05/11/2020";"13/02/2012";NA;NA;"ATIVO";"05/11/2020";"FASE OPERACIONAL";"13/08/2020";"Categoria A";"05/11/2020";"KPMG AUDITORES INDEPENDENTES";57755217000129;"SEDE";"AV. DOUTORA RUTH CARDOSO, 8501";"3º AND";"PINHEIROS";"SÃO PAULO";"SP";NA;NA;"(11) 30305114";NA;"ri@alphaville.com.br";"DIRETOR DE RELAÇÕES COM INVESTIDORES";"GUILHERME DE PUPPI E SILVA";"20/07/2020";"AV. RUTH CARDOSO, 8501/3º AND";NA;"PINHEIROS";"SÃO PAULO";"SP";NA;5425070;"(11) 30305114";NA;"ri@alphaville.com.br";NA;16811931000100
"24";18066;"ALTERE SECURITIZADORA S.A.";"ALTERE SECURITIZADORA S/A";"Securitização de Recebíveis";"PJ";"2783423000150";"10/12/1998";"14/09/1998";NA;NA;"ATIVO";"10/12/1998";"FASE OPERACIONAL";"01/10/2003";"Categoria B";"01/01/2010";"CROWE MACRO AUDITORES INDEPENDENTES SOCIEDADE SIMPLES";22985155000167;"SEDE";"AVENIDA BRIGADEIRO FARIA LIMA,";"N 3477, 2°AND.T.B";"ITAIM BIBI";"SÃO PAULO";"SP";"BRASIL";NA;NA;NA;"felipe@alteresec.com.br";"DIRETOR DE RELAÇÕES COM INVESTIDORES";"ARMANDO MIGUEL GALLO NETO";"16/03/2018";"AV. BRIGADEIRO FARIA LIMA";"1.355 3º ANDAR";"JARDIM PAULISTANO";"SÃO PAULO";"SP";NA;1452919;"(11) 32992319";"(11) 32992260";"luciane@alteresec.com.br";"BALCÃO NÃO ORGANIZADO";2783423000150
"25";21490;"ALUPAR INVESTIMENTO S/A";"ALUPAR INVESTIMENTO S/A";"Emp. Adm. Part. - Energia Elétrica";"PJ";"8364948000138";"18/06/2008";"27/09/2006";NA;NA;"ATIVO";"18/06/2008";"FASE OPERACIONAL";"18/06/2008";"Categoria A";"04/10/2012";"ERNST & YOUNG AUDITORES INDEPENDENTES S/S";61366936000125;"SEDE";"Rua Gomes de Carvalho, nº 1996";"16 andar";"Vila Olímpia";"SÃO PAULO";"SP";"BRASIL";NA;"(11) 45712400";"(11) 30459602";"ri@alupar.com.br";"DIRETOR DE RELAÇÕES COM INVESTIDORES";"JOSÉ LUIZ DE GODOY PEREIRA";"20/05/2014";"RUA GOMES DE CARVALHO, Nº 1996";"16º ANDAR";"VILA OLÍMPIA";"SÃO PAULO";"SP";NA;4547006;"(11) 45712400";"(11) 30459602";"ri@alupar.com.br";NA;8364948000138
"26";23264;"AMBEV S.A.";"AMBEV S.A";"Bebidas e Fumo";"PJ";"7526557000100";"30/10/2013";"08/07/2005";NA;NA;"ATIVO";"30/10/2013";"FASE OPERACIONAL";"08/04/2013";"Categoria A";"08/04/2013";"DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES";49928567000111;"SEDE";"Rua Dr. Renato Paes de Barros, 1.017";"3º andar";"Itaim Bibi";"SÃO PAULO";"SP";"BRASIL";NA;"(11) 21221414";"(11) 21221529";"ri@ambev.com.br";"DIRETOR DE RELAÇÕES COM INVESTIDORES";"FERNANDO MOMMENSOHN TENNENBAUM";"01/07/2018";"RUA DR. RENATO PAES DE BARROS";"1.107, 4º ANDAR";"ITAIM BIBI";"SÃO PAULO";NA;NA;4530001;"(011) 21221414";"(011) 21221529";"ri@ambev.com.br";NA;7526557000100
"27";24961;"AMBIPAR PARTICIPAÇÕES E EMPREENDIMENTOS S.A.";"AMBIPAR PARTICIPAÇÕES E EMPREENDIMENTOS S.A.";"Saneamento, Serv. Água e Gás";"PJ";"12648266000124";"15/05/2020";"16/08/2010";NA;NA;"ATIVO";"15/05/2020";"FASE OPERACIONAL";"20/02/2020";"Categoria A";"15/05/2020";"BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES";54276936000179;"SEDE";"AVENIDA PACAEMBU, Nº 1.088";NA;"PACAEMBU";"SÃO PAULO";"SP";NA;NA;"(11) 34295000";"(11) 34295000";"ri@ambipar.com";"DIRETOR DE RELAÇÕES COM INVESTIDORES";"THIAGO DA COSTA SILVA";"17/02/2020";"AVENIDA PACAEMBU, Nº 1.088";NA;"PACAEMBU";"SÃO PAULO";"SP";NA;1233000;"(11) 34295000";"(11) 34295000";"ri@ambipar.com";NA;12648266000124
"28";3050;"AMPLA ENERGIA E SERVIÇOS S.A.";"AMPLA";"Energia Elétrica";"PJ";"33050071000158";"15/08/1969";"01/06/1909";NA;NA;"ATIVO";"15/08/1969";"FASE OPERACIONAL";"15/08/1969";"Categoria A";"01/01/2010";"BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES";54276936000179;"SEDE";"Praça Leoni Ramos";"n.º 1";"São Domingos";"NITERÓI";"RJ";"BRASIL";NA;"(21) 26137000";"(21) 26137161";"tcavalcante@endesabr.com.br";"DIRETOR DE RELAÇÕES COM INVESTIDORES";"AURÉLIO RICARDO BUSTILHO DE OLIVEIRA";"30/07/2012";"PRAÇA LEONI RAMOS, Nº 1";"7º ANDAR, BL. 01";"SÃO DOMINGOS";"NITERÓI";"RJ";NA;24210201;"(85) 34534029";"(21) 26137122";"brasil.investorrelations@enel.com";"BOLSA";33050071000158
"29";23248;"ANIMA HOLDING S/A";NA;"Educação";"PJ";"9288252000132";"24/10/2013";"05/10/2007";NA;NA;"ATIVO";"24/10/2013";"FASE OPERACIONAL";"03/09/2013";"Categoria A";"03/09/2013";"PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES";61562112000120;"SEDE";"Rua Natingui, 862";"1° andar";"Vila Madalena";"SÃO PAULO";"SP";"BRASIL";NA;"(11) 43022611";"(11) 43022680";"ri@animaeducacao.com.br";"DIRETOR DE RELAÇÕES COM INVESTIDORES";"GABRIEL RALSTON CORREA RIBEIRO";"26/04/2018";"RUA NATINGUI, 862";"1º ANDAR";"VILA MADALENA";"SÃO PAULO";NA;NA;5443001;"(011) 43022611";"(011) 43022680";"ri@animaeducacao.com.br";NA;9288252000132
